,CustomerID,LogReg_Probability
5216,9029-FEGVJ,0.5292753203150677
5225,4329-YPDDQ,0.529042817165038
6060,3312-ZWLGF,0.527840567107713
6733,8404-FYDIB,0.5278199168212123
6946,9108-EJFJP,0.527790521501926
6870,8725-JEDFD,0.5271042111027276
4663,4280-DLSHD,0.5265363739905238
2629,7460-ITWWP,0.5265192646185627
6400,0118-JPNOY,0.5258880287311433
2071,3197-ARFOY,0.5258869191772123
3631,2573-GYRUU,0.5255499520117947
5954,6646-JPPHA,0.5244245399410339
2697,1047-NNCBF,0.5243657871455953
2716,3522-CDKHF,0.5239708877084787
2817,6260-ONULR,0.5237581193884044
6038,0147-ESWWR,0.523732066913204
1972,7850-VWJUU,0.523669523604196
6542,2347-WKKAE,0.5236225306635075
6367,1228-ZLNBX,0.5235503325898918
3208,2085-BOJKI,0.5221002844482698
2289,7343-EOBEU,0.5219769616274679
5903,3002-WQZWT,0.5218614775856095
5818,6559-PDZLR,0.5213305302082446
4259,0928-JMXNP,0.5208310307707696
2139,3583-KRKMD,0.5207783733407931
5563,9699-UBQFS,0.519771176812254
2106,6745-JEFZB,0.518994251499087
5015,8818-DOPVL,0.5185833930698569
5614,2507-QZPQS,0.5173487646662759
2536,0730-KOAVE,0.5173318365367516
2551,3956-CJUST,0.5173208450598862
6824,5666-CYCYZ,0.5172056534069107
4892,3345-PBBFH,0.5167484651514112
3924,4760-THGOT,0.5166935642245154
3150,8887-IPQNC,0.5166664589873652
6460,5331-RGMTT,0.5162259315613223
5238,6377-WHAOX,0.515409033987531
2989,6184-DYUOB,0.5147763897222678
6472,5066-GFJMM,0.5147012201031675
4741,9278-VZKCD,0.5146378720861068
5781,5647-FXOTP,0.5145554231774256
7019,1685-BQULA,0.5144084237293566
5749,8486-AYEQH,0.5138636448896596
6129,4815-GBTCD,0.5133952593456916
3635,9822-OAOVB,0.5133264800898016
5901,6538-POCHL,0.5132211754852057
4232,5501-TVMGM,0.513042422319931
2197,5886-VLQVU,0.512893294271847
6771,3588-WSTTJ,0.5122553301718678
6766,0674-EYYZV,0.5121901991933457
5086,2675-OTVVJ,0.5107145460246961
2236,6778-YSNIH,0.5099225200382786
4444,2921-XWDJH,0.509332578849756
6738,9979-RGMZT,0.5092942056046263
3698,5630-IXDXV,0.5091648884088666
5207,6578-KRMAW,0.5088914872155936
5482,8404-GFGCZ,0.5081233147749352
4501,6741-EGCBI,0.5078398865075517
3543,0093-EXYQL,0.5076389887544784
4024,2761-XECQW,0.5071310412375023
6537,6048-QBXKL,0.5067765441766383
3956,1845-ZLLIG,0.5057966085621165
3981,2740-TVLFN,0.5057966085621165
3452,0248-IPDFW,0.5057255541402553
3306,7442-YGZFK,0.5052992228525314
2203,1910-FMXJM,0.5045372586758379
4069,2960-NKRSO,0.5044895623857995
3081,9469-WEJBT,0.504243621626067
6025,9752-ZNQUT,0.5035938268363751
2718,0411-EZJZE,0.503246466500563
6626,0419-YAAPX,0.5026936371210564
6135,7048-GXDAY,0.5021097515541106
4409,0468-YRPXN,0.5015515146335802
6251,6859-RKMZJ,0.5014570764734726
6903,6127-IYJOZ,0.499685376664428
